area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Dodda Banaswadi,2 BHK,,1120,2.0,3.0,36.0
Built-up  Area,Ready To Move,Hosakerehalli,8 Bedroom,,3600,6.0,1.0,145.0
Plot  Area,Ready To Move,Ambedkar Nagar,4 Bedroom,Thessrm,2900,3.0,2.0,300.0
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1636,3.0,2.0,88.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1167,2.0,2.0,64.08
Built-up  Area,Ready To Move,Hulimavu,4 Bedroom,Omaveai,2000,4.0,0.0,100.0
Super built-up  Area,Ready To Move,Sarjapur  Road,1 BHK,,835,1.0,1.0,46.95
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,IBityin,671,1.0,1.0,36.85
Plot  Area,Ready To Move,Nagasandra,4 Bedroom,,1310,3.0,3.0,95.0
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1636,3.0,2.0,85.0
Built-up  Area,19-Mar,Hennur Road,4 Bedroom,Gollela,3450,4.0,3.0,294.0
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,2690,4.0,3.0,191.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1130,2.0,2.0,85.0
Built-up  Area,Ready To Move,Anandapura,2 BHK,LoLeoen,1250,2.0,2.0,45.0
Plot  Area,Ready To Move,Doddaballapur,4 Bedroom,,3206,5.0,,270.0
Plot  Area,Ready To Move,Gandhi Nagar,5 Bedroom,,1050,4.0,1.0,80.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Srconor,1200,2.0,2.0,58.0
Super built-up  Area,19-Dec,Devanahalli,3 BHK,Jurdsig,1520 - 1740,,,74.82
Super built-up  Area,Ready To Move,Kothannur,2 BHK,,1350,2.0,2.0,42.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,PrOakSi,3940,5.0,3.0,265.0
Super built-up  Area,18-Apr,Balagere,2 BHK,Soresea,1012,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Rayasandra,3 BHK,MJeusyl,1555,3.0,2.0,75.17
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,DSreerk,1470,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Shthi S,1525,2.0,3.0,63.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1691,3.0,2.0,113.0
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,VSlistr,540 - 670,1.0,0.0,41.745
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,,1160,2.0,1.0,42.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Shthi S,1380,2.0,1.0,52.0
Built-up  Area,18-Dec,Huskur,3 BHK,,1400,2.0,1.0,40.43
Super built-up  Area,18-Dec,Thanisandra,3 BHK,,1436,3.0,1.0,74.75
Carpet  Area,Ready To Move,Thirumenahalli,2 BHK,,1100,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Prtates,1216,2.0,1.0,83.0
Built-up  Area,Ready To Move,Bellandur,4 Bedroom,Vaodssh,3600,4.0,,245.0
Built-up  Area,21-Dec,"Judicial Layout, Kanakapura Road, ",2 BHK,,700,2.0,1.0,35.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1756,3.0,2.0,128.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170,2.0,1.0,38.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veale R,1355,2.0,3.0,78.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1590,3.0,2.0,57.0
Super built-up  Area,Ready To Move,Vishwapriya Layout,2 BHK,Prodsth,910,2.0,3.0,36.0
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,,1200,2.0,1.0,55.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,6 Bedroom,,3000,8.0,3.0,451.0
Super built-up  Area,21-Jan,Tumkur Road,2 BHK,Sapus S,1239,2.0,1.0,82.0
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153,2.0,2.0,56.7
Super built-up  Area,Ready To Move,Chikkadunnasandra,3 BHK,Krz 2 Q,1398,3.0,0.0,51.0
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,Skacak ,1268,2.0,1.0,58.0
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,1500,3.0,3.0,102.0
Super built-up  Area,Ready To Move,Whitefield,4 BHK,Prwer S,3075,2.0,3.0,188.0
Super built-up  Area,Ready To Move,Hennur,2 BHK,,1255,2.0,1.0,58.0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,Malowr ,920,2.0,3.0,39.0
Plot  Area,Ready To Move,Basavangudi,6 Bedroom,,1214,3.0,0.0,220.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770,1.0,1.0,38.0
Built-up  Area,Ready To Move,Chamrajpet,1 BHK,,505,1.0,0.0,85.0
Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,Mameser,560,2.0,1.0,16.6
Carpet  Area,Ready To Move,Kumara Park,3 BHK,,2200,4.0,,350.0
Built-up  Area,Ready To Move,Jnanabharathi Layout,4 Bedroom,,2400,3.0,2.0,142.0
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Usquaya,1045,2.0,2.0,42.15
Super built-up  Area,Ready To Move,Gottigere,2 BHK,Srtusi ,1110,2.0,2.0,36.25
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1260,2.0,2.0,55.0
Super built-up  Area,Ready To Move,KR Puram,3 BHK,KeureSi,1700,3.0,3.0,105.0
Super built-up  Area,Ready To Move,Varthur,3 BHK,Caiseur,1560,3.0,2.0,90.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,DSnjh S,1344,2.0,1.0,42.0
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,,1400,2.0,2.0,68.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,4 BHK,,4550,2.0,1.0,240.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1243,2.0,2.0,46.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1 BHK,Brnia G,750,1.0,2.0,47.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,,1500,3.0,1.0,160.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Gotis A,1745,3.0,3.0,100.0
Super built-up  Area,Ready To Move,Giri Nagar,7 BHK,Bancyri,4500,5.0,3.0,250.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2.0,1.0,48.0
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1187,2.0,2.0,58.0
Super built-up  Area,Ready To Move,Banashankari,2 BHK,Goeesem,1105,2.0,2.0,90.0
Super built-up  Area,Ready To Move,Stage-4 Bommanahalli,2 BHK,Pantsce,1194,2.0,0.0,55.0
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Mykyayi,1837,2.0,2.0,95.0
Built-up  Area,Ready To Move,Nagavara,2 BHK,,1315,2.0,2.0,70.0
Plot  Area,Ready To Move,Hosakerehalli,2 Bedroom,,600,2.0,0.0,65.0
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,SosonGa,1500,3.0,3.0,100.0
Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,2 BHK,,1464,2.0,2.0,56.0
Built-up  Area,Ready To Move,Kumaraswami Layout,3 BHK,,1310,2.0,1.0,70.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1100,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1930,4.0,2.0,122.0
Super built-up  Area,Ready To Move,Mylasandra,2 BHK,Laowsba,1110,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Saandvi,1089,2.0,1.0,49.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,RothaVa,1700,3.0,3.0,150.0
Super built-up  Area,Ready To Move,Banashankari 6th Stage,2 BHK,,1330,2.0,2.0,80.0
Plot  Area,Ready To Move,1st Block Jayanagar,8 Bedroom,,700,4.0,,104.0
Built-up  Area,Ready To Move,Harlur,2 BHK,,1225,2.0,2.0,56.0
Built-up  Area,Ready To Move,Channasandra,6 Bedroom,,4200,6.0,0.0,180.0
Super built-up  Area,18-Apr,Electronic City,3 BHK,GMown E,1500,2.0,1.0,78.0
Super built-up  Area,18-Dec,Gopalapura,4 BHK,Sothadr,3179,5.0,3.0,351.0
Built-up  Area,Ready To Move,Kadugodi,2 BHK,,1050,2.0,1.0,34.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,DScon S,1625,2.0,2.0,54.0
Super built-up  Area,22-Dec,Bannerghatta Road,3 BHK,PrarePa,1365 - 1700,3.0,0.0,84.29
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Adowslm,3100,4.0,2.0,465.0
Super built-up  Area,Ready To Move,Nagavara,4 BHK,K dotna,2172.65,3.0,3.0,120.0
Super built-up  Area,18-Jul,Raja Rajeshwari Nagar,2 BHK,Prllsan,1157,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,SRageri,1195,2.0,1.0,52.0
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,2 BHK,Soe 2as,1090,2.0,1.0,37.0
Super built-up  Area,Ready To Move,Shikaripalya,3 BHK,ALtonea,1442,3.0,2.0,56.24
Super built-up  Area,18-Aug,Hosakerehalli,3 BHK,Maunt M,1410,2.0,2.0,53.58
Super built-up  Area,Ready To Move,Chennammanakere Achukattu,2 BHK,,1260,2.0,1.0,75.0
Built-up  Area,Ready To Move,Mallappa Layout,3 BHK,Keort F,1500,3.0,2.0,75.0
Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,Jaood G,1080,2.0,2.0,32.0
Carpet  Area,Ready To Move,Doopanahalli,3 BHK,VancyRe,1625,3.0,1.0,150.0
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,MancyRe,1450,3.0,3.0,100.0
Plot  Area,18-Dec,Whitefield,3 Bedroom,,1500,3.0,1.0,71.8
Built-up  Area,Ready To Move,Thubarahalli,3 BHK,ShdhiSa,2625,3.0,3.0,175.0
Built-up  Area,Ready To Move,Brookefield,4 BHK,Sringlv,3050,4.0,,130.0
Built-up  Area,Ready To Move,3rd Block Koramangala,3 BHK,,1750,3.0,3.0,170.0
Plot  Area,Ready To Move,Sadahalli,3 Bedroom,K ensad,3800,2.0,,130.0
Built-up  Area,Ready To Move,Bikasipura,4 Bedroom,,4200,4.0,2.0,255.0
Super built-up  Area,Ready To Move,Byatarayanapura,1 BHK,,1300,1.0,0.0,200.0
Plot  Area,Ready To Move,Kattigenahalli,4 Bedroom,,2100,4.0,,155.0
Built-up  Area,Ready To Move,JP Nagar,3 BHK,,3300,4.0,3.0,160.0
Built-up  Area,Ready To Move,Kasavanhalli,3 Bedroom,,2111,4.0,3.0,120.0
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1140,2.0,2.0,50.66
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1460,2.0,2.0,100.0
Super built-up  Area,Ready To Move,Hennur,2 BHK,SLureSi,1075,2.0,1.0,52.0
Super built-up  Area,18-Dec,Kudlu Gate,3 BHK,Sanzaat,1850,3.0,2.0,110.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1385,2.0,2.0,66.65
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,i1rtsCo,1630,3.0,2.0,60.65
Super built-up  Area,Ready To Move,Varsova Layout,3 BHK,MoaveEn,1280,2.0,3.0,55.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,44.0
Super built-up  Area,Ready To Move,near Ramanashree California resort,6 BHK,,3600,4.0,1.0,160.0
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Shodsth,1425,2.0,1.0,70.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,Savar S,1250,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Coffee Board Layout,3 BHK,Sanstya,1652.5,3.0,2.0,90.0
Built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957,2.0,1.0,56.0
Super built-up  Area,Ready To Move,Jalahalli,1 BHK,Vaniai ,615,1.0,1.0,46.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,2275,4.0,2.0,180.0
Plot  Area,18-Jul,Varthur,3 Bedroom,,1200,3.0,1.0,67.75
Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,ArrdsOr,960,2.0,3.0,56.0
Plot  Area,Ready To Move,Esther Enclave Layout,5 Bedroom,,1600,5.0,2.0,140.0
Super built-up  Area,Ready To Move,Jakkur,3 BHK,Paurt C,1355,2.0,2.0,65.0
Plot  Area,Ready To Move,Bagalakunte,2 Bedroom,,1050,2.0,0.0,40.0
Super built-up  Area,18-May,Ananth Nagar,2 BHK,,1074,2.0,2.0,26.85
Super built-up  Area,Ready To Move,Reliaable Tranquil Layout,3 BHK,Sariana,1508,3.0,1.0,75.0
Carpet  Area,Ready To Move,Ramagondanahalli,3 BHK,Reitice,1500,3.0,3.0,100.0
Plot  Area,Ready To Move,2 Bedroom Furnished Farm House in Kolar Road,2 Bedroom,,1.25Acres,2.0,2.0,200.0
Plot  Area,Ready To Move,5th Block Hbr Layout,9 Bedroom,,2600,12.0,,675.0
Super built-up  Area,Ready To Move,4th Block Jayanagar,3 BHK,,1567.2,2.0,0.0,190.0
Super built-up  Area,Ready To Move,Vasanthapura,2 BHK,,978,2.0,1.0,34.22
Built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,,2040,3.0,2.0,114.0
Super built-up  Area,Ready To Move,8th block Koramangala,2 BHK,Sid 2ss,1165,2.0,1.0,135.0
Super built-up  Area,19-Dec,Kodihalli,4 BHK,Priesla,3626,5.0,3.0,788.0
Super built-up  Area,Ready To Move,Singasandra,2 BHK,GRe 2iv,1100,2.0,1.0,52.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SuMTBPr,1150,2.0,1.0,70.0
Built-up  Area,21-Dec,"Judicial Layout, Kanakapura Road, ",3 BHK,,1300,3.0,2.0,64.0
Plot  Area,Ready To Move,Amruthahalli,3 Bedroom,,1200,5.0,2.0,200.0
Super built-up  Area,19-Dec,Whitefield,3 BHK,Goted U,2173,3.0,2.0,128.0
Super built-up  Area,Ready To Move,Varthur,2 BHK,DSingSt,1111,2.0,2.0,41.88
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1025,2.0,1.0,54.0
Built-up  Area,Ready To Move,Doddanekundi,2 BHK,,1148,2.0,1.0,59.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prarkun,1342,2.0,1.0,90.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,1215,2.0,1.0,68.0
Super built-up  Area,Ready To Move,Hosur Road,2 BHK,Collsrn,1085,2.0,2.0,33.7
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Puallhi,2425,5.0,1.0,175.0
Super built-up  Area,20-Dec,Old Madras Road,3 BHK,Shmes O,1350,3.0,2.0,47.25
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2215,4.0,2.0,154.0
Super built-up  Area,Ready To Move,Teachers Colony,3 BHK,,1350,3.0,0.0,77.0
Super built-up  Area,Ready To Move,Banashankari,3 BHK,Sriseva,1400,2.0,1.0,78.0
Super built-up  Area,Ready To Move,Shanthala Nagar,2 BHK,Malex C,1630,2.0,2.0,200.0
Super built-up  Area,Ready To Move,Tirumanahalli,2 BHK,,1146,2.0,1.0,39.5
Built-up  Area,Ready To Move,New Gurappana Palya,7 BHK,,600,7.0,3.0,106.0
Super built-up  Area,18-Aug,Kudlu Gate,2 BHK,Sanzaat,1183,2.0,1.0,79.54
Super built-up  Area,18-Dec,Sarjapur,4 BHK,Kinuerg,1925 - 2680,,,80.59
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Mileeou,1155,2.0,1.0,69.18
Built-up  Area,Ready To Move,Hosahalli Extension,5 Bedroom,,2000,5.0,2.0,240.0
Built-up  Area,Ready To Move,Basavangudi,3 BHK,,1485,3.0,1.0,140.0
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,DSera S,1002,2.0,1.0,40.08
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,,1475,2.0,2.0,58.99
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1115,2.0,2.0,50.0
Super built-up  Area,Ready To Move,CR Layout,3 BHK,,1495,3.0,,200.0
Super built-up  Area,Ready To Move,Nobo Nagar,3 BHK,Elacet ,1424,2.0,3.0,55.0
Built-up  Area,Ready To Move,Hormavu,2 Bedroom,,750,2.0,0.0,58.0
Super built-up  Area,Ready To Move,Gottigere,3 BHK,Pridei ,1500,3.0,2.0,63.0
Super built-up  Area,18-Aug,5th Phase JP Nagar,2 BHK,,1070,2.0,2.0,39.0
Super built-up  Area,18-Apr,Kadugodi,2 BHK,Alestrb,1314,2.0,3.0,83.0
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Sondaka,950,2.0,2.0,32.5
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,,1140,2.0,2.0,56.0
Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,N iewak,800,2.0,1.0,33.0
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Keorai ,1260,2.0,1.0,70.0
Plot  Area,Ready To Move,Kalhalli,2 Bedroom,Keersto,2400,2.0,1.0,160.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Sonviik,1495,2.0,,67.0
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Mayne A,975,2.0,1.0,63.0
Plot  Area,18-May,RTO ullalu,2 Bedroom,,600,4.0,1.0,110.0
Super built-up  Area,Ready To Move,Vittal Nagar,2 BHK,Riave E,1000,2.0,1.0,45.0
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,SLoraFl,1080,2.0,1.0,38.0
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,ManceEl,1178,2.0,,78.0
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,36.0
Super built-up  Area,18-May,Raja Rajeshwari Nagar,2 BHK,Cee 2du,1162,2.0,0.0,65.0
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,,1115,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1243,2.0,2.0,46.0
Plot  Area,Ready To Move,Indira Nagar,5 Bedroom,,1000,5.0,2.0,180.0
Super built-up  Area,15-Nov,Kothanur,3 BHK,Somumys,1760,3.0,,150.0
Super built-up  Area,18-Dec,Seegehalli,2 BHK,,920,2.0,1.0,27.0
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,Vaarech,1042 - 1105,2.0,0.0,54.005
Super built-up  Area,Ready To Move,Akshaya Vana,3 BHK,Rainet ,1280,2.0,2.0,49.0
Super built-up  Area,18-Aug,Kasavanhalli,3 BHK,,1691,3.0,2.0,104.0
Super built-up  Area,21-Dec,Thanisandra,2 BHK,Bhe 2ko,1183,2.0,1.0,58.56
Plot  Area,Ready To Move,BTM 2nd Stage,4 Bedroom,,2400,3.0,2.0,400.0
Plot  Area,Ready To Move,Varanasi,2 Bedroom,,800,3.0,1.0,59.5
Super built-up  Area,Ready To Move,Ambedkar Nagar,2 BHK,SoechHa,1424,2.0,2.0,90.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soweray,1751,2.0,1.0,115.0
Super built-up  Area,18-Jul,Raja Rajeshwari Nagar,2 BHK,Prllsan,1608,2.0,2.0,85.0
Plot  Area,Ready To Move,1st Block Jayanagar,7 Bedroom,,930,4.0,2.0,85.0
Super built-up  Area,Ready To Move,Basavangudi,4 BHK,Bousey ,2453,3.0,2.0,250.0
Plot  Area,Ready To Move,Thurahalli,4 Bedroom,,600,3.0,2.0,65.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veales ,1320,2.0,3.0,79.5
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1530,2.0,2.0,74.4
Super built-up  Area,Ready To Move,Banagiri Nagar,3 BHK,,1525,2.0,2.0,91.48
Plot  Area,Ready To Move,NRI Layout,4 Bedroom,,800,5.0,1.0,95.5
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Hiestre,1200,2.0,2.0,62.5
Super built-up  Area,Ready To Move,Lavakusha Nagar,3 BHK,,1780,3.0,1.0,100.0
Built-up  Area,Ready To Move,Sarvabhouma Nagar,2 BHK,BhncyRe,1012,2.0,0.0,42.0
Plot  Area,18-Dec,Whitefield,2 Bedroom,,1200,2.0,1.0,45.0
Super built-up  Area,18-Jan,Bommanahalli,3 BHK,,1300,3.0,2.0,45.0
Super built-up  Area,Ready To Move,Avalahalli,4 BHK,Sohea A,2996,4.0,3.0,200.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,,1454,3.0,3.0,71.5
Plot  Area,Ready To Move,tc.palya,2 Bedroom,,880,2.0,1.0,48.0
Super built-up  Area,20-Jan,Balagere,1 BHK,Soresea,656,1.0,1.0,34.77
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Contsci,1418,2.0,2.0,78.0
Super built-up  Area,18-Jul,CV Raman Nagar,2 BHK,Pu270a ,1392,2.0,1.0,95.0
Built-up  Area,Ready To Move,Kasavanhalli,3 Bedroom,,2100,3.0,3.0,110.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Bhmesy ,1573,3.0,2.0,115.0
Plot  Area,Ready To Move,Muthyala Nagar,4 Bedroom,,1200,4.0,2.0,165.0
Built-up  Area,Ready To Move,Abbigere,6 Bedroom,,2200,6.0,2.0,68.0
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2475,4.0,3.0,326.0
Super built-up  Area,18-May,Bommasandra,2 BHK,SSestth,1035,2.0,1.0,41.43
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Mahosya,1420,2.0,1.0,123.0
Plot  Area,Ready To Move,Budigere,4 Bedroom,,1200,3.0,0.0,135.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,Prncyrn,1755,3.0,2.0,130.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Maoma P,1160,2.0,1.0,67.0
Super built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,Swhtsna,1100,2.0,1.0,45.0
Super built-up  Area,18-Aug,Ananth Nagar,1 BHK,,500,1.0,1.0,14.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,1850,3.0,2.0,140.0
Super built-up  Area,19-Mar,Whitefield,2 BHK,Prtates,1216,2.0,1.0,82.0
Built-up  Area,Ready To Move,Singasandra,1 Bedroom,,600,1.0,0.0,45.0
Built-up  Area,Ready To Move,2nd Block Hrbr Layout,3 BHK,Raaden ,1480,3.0,2.0,90.0
Super built-up  Area,Ready To Move,MLA Layout,2 BHK,,1050,2.0,1.0,36.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Mithmn ,1700,3.0,1.0,140.0
Super built-up  Area,Ready To Move,Balagere,2 BHK,Soresea,1205,2.0,1.0,79.0
Plot  Area,Ready To Move,Sector 3 HSR Layout,9 Bedroom,,600,9.0,3.0,190.0
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,,1090,2.0,1.0,47.42
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1165,2.0,1.0,85.0
Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,Inntsa ,2420,3.0,2.0,185.0
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Proodt ,1744,4.0,1.0,210.0
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845,2.0,1.0,33.0
Plot  Area,Ready To Move,Vijayanagar,2 Bedroom,,1380,2.0,0.0,225.0
Super built-up  Area,18-Dec,Dommasandra,2 BHK,,674,1.0,1.0,19.9
Super built-up  Area,Ready To Move,Haralur Road,4 BHK,Oznzaes,3700,4.0,2.0,325.0
Super built-up  Area,Ready To Move,Ramagondanahalli,2 BHK,SVodsve,1295,2.0,2.0,95.0
Plot  Area,18-Aug,Whitefield,2 Bedroom,,1200,2.0,1.0,45.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Prhna S,850,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Lake City,2 BHK,,750,2.0,1.0,28.0
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,MauilTr,1470,2.0,2.0,82.0
Super built-up  Area,Ready To Move,Pai Layout,3 BHK,Cemesal,1510,2.0,2.0,65.0
Plot  Area,Ready To Move,Electronic City,3 Bedroom,EmrchAn,1200,3.0,2.0,150.0
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,Baowsig,1210,2.0,1.0,58.0
Super built-up  Area,Ready To Move,Malleshpalya,3 BHK,KencyRe,1430,2.0,1.0,69.5
Built-up  Area,Ready To Move,Hosapalya,8 Bedroom,,2500,8.0,3.0,95.0
Super built-up  Area,Ready To Move,Kambipura,2 BHK,Prrtht ,883,2.0,1.0,37.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1450,3.0,3.0,54.3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,MaaveDu,1165,2.0,1.0,45.0
Super built-up  Area,Ready To Move,cooketown,3 BHK,,1800,3.0,3.0,192.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Vaine S,1140,2.0,1.0,40.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Revane ,1150,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Varthur,3 BHK,,2145,3.0,2.0,165.0
Super built-up  Area,18-Mar,Akshaya Nagar,3 BHK,,1360,2.0,2.0,85.0
Built-up  Area,Ready To Move,Hosakerehalli,1 Bedroom,,1200,1.0,0.0,150.0
Built-up  Area,Ready To Move,8th Block Jayanagar,6 Bedroom,,2000,6.0,3.0,300.0
Built-up  Area,Ready To Move,Harohalli,2 BHK,,1305,2.0,2.0,52.0
Super built-up  Area,17-Oct,Bellandur,4 BHK,NiCodCa,2025,4.0,3.0,109.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,SoniaEt,2070,4.0,2.0,160.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1175,2.0,1.0,82.0
Built-up  Area,Ready To Move,Kengeri,2 BHK,,1000,2.0,1.0,25.0
Plot  Area,18-Apr,Nagarbhavi,3 Bedroom,,1200,3.0,2.0,228.0
Super built-up  Area,18-Dec,Tunganagara,3 BHK,DSdidSp,1270,2.0,1.0,35.56
Super built-up  Area,Ready To Move,Thirupalya,2 BHK,Pao 2Sm,1025,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,CaaveEn,1700,3.0,1.0,180.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Ayaya A,1290,2.0,3.0,56.12
Super built-up  Area,Ready To Move,Kudlu,2 BHK,GKityel,1143,2.0,1.0,55.0
Super built-up  Area,Ready To Move,Lake City,1 BHK,Prdenth,600,1.0,1.0,22.8
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1027,2.0,2.0,43.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2.0,1.0,45.0
